state,Gender,Year,Count
AK,F,1961,2693
AK,F,1962,2693
AK,F,1963,2706
AK,F,1964,2520
AK,F,1965,2286
AK,F,1966,2154
AK,F,1967,2112
AK,F,1968,2117
AK,F,1969,2405
AK,F,1970,2671
AK,F,1971,2455
AK,F,1972,2096
AK,F,1973,1975
AK,F,1974,1906
AK,F,1975,2160
AK,F,1976,2200
AK,F,1977,2422
AK,F,1978,2491
AK,F,1979,2679
AK,F,1980,2842
AK,F,1981,2940
AK,F,1982,3425
AK,F,1983,3799
AK,F,1984,3962
AK,F,1985,3983
AK,F,1986,3717
AK,F,1987,3575
AK,F,1988,3272
AK,F,1989,3532
AK,F,1990,3427
AK,F,1991,3349
AK,F,1992,3239
AK,F,1993,3023
AK,F,1994,2780
AK,F,1995,2618
AK,F,1996,2512
AK,F,1997,2532
AK,F,1998,2587
AK,F,1999,2357
AK,F,2000,2286
AK,F,2001,2335
AK,F,2002,2281
AK,F,2003,2226
AK,F,2004,2318
AK,F,2005,2298
AK,F,2006,2385
AK,F,2007,2347
AK,F,2008,2441
AK,F,2009,2333
AK,F,2010,2412
AK,F,2011,2521
AK,F,2012,2301
AK,F,2013,2439
AK,F,2014,2596
AK,F,2015,2432
AK,F,2016,2396
AK,F,2017,2238
AK,F,2018,2042
AK,F,2019,1933
AK,M,1961,3119
AK,M,1962,3175
AK,M,1963,3226
AK,M,1964,3120
AK,M,1965,2977
AK,M,1966,2837
AK,M,1967,2647
AK,M,1968,2732
AK,M,1969,2915
AK,M,1970,3177
AK,M,1971,3186
AK,M,1972,2697
AK,M,1973,2460
AK,M,1974,2679
AK,M,1975,2818
AK,M,1976,2994
AK,M,1977,3139
AK,M,1978,3344
AK,M,1979,3541
AK,M,1980,3677
AK,M,1981,4021
AK,M,1982,4497
AK,M,1983,4712
AK,M,1984,4999
AK,M,1985,5047
AK,M,1986,4758
AK,M,1987,4442
AK,M,1988,4318
AK,M,1989,4352
AK,M,1990,4415
AK,M,1991,4394
AK,M,1992,4294
AK,M,1993,3965
AK,M,1994,3758
AK,M,1995,3596
AK,M,1996,3559
AK,M,1997,3356
AK,M,1998,3318
AK,M,1999,3391
AK,M,2000,3321
AK,M,2001,3291
AK,M,2002,3198
AK,M,2003,3212
AK,M,2004,3276
AK,M,2005,3321
AK,M,2006,3341
AK,M,2007,3455
AK,M,2008,3510
AK,M,2009,3472
AK,M,2010,3445
AK,M,2011,3402
AK,M,2012,3358
AK,M,2013,3494
AK,M,2014,3502
AK,M,2015,3402
AK,M,2016,3281
AK,M,2017,3002
AK,M,2018,2915
AK,M,2019,2807
AL,F,1961,34339
AL,F,1962,33356
AL,F,1963,32067
AL,F,1964,32162
AL,F,1965,29498
AL,F,1966,27608
AL,F,1967,26730
AL,F,1968,26107
AL,F,1969,26152
AL,F,1970,27104
AL,F,1971,26575
AL,F,1972,24148
AL,F,1973,22967
AL,F,1974,22541
AL,F,1975,21849
AL,F,1976,21511
AL,F,1977,23006
AL,F,1978,21748
AL,F,1979,22912
AL,F,1980,22996
AL,F,1981,22731
AL,F,1982,21862
AL,F,1983,21767
AL,F,1984,21533
AL,F,1985,21786
AL,F,1986,21339
AL,F,1987,21536
AL,F,1988,21612
AL,F,1989,22664
AL,F,1990,22475
AL,F,1991,22066
AL,F,1992,21377
AL,F,1993,21346
AL,F,1994,20997
AL,F,1995,20747
AL,F,1996,20567
AL,F,1997,20735
AL,F,1998,20838
AL,F,1999,21091
AL,F,2000,21122
AL,F,2001,19964
AL,F,2002,19495
AL,F,2003,19640
AL,F,2004,19365
AL,F,2005,19726
AL,F,2006,20369
AL,F,2007,21328
AL,F,2008,20956
AL,F,2009,19989
AL,F,2010,18889
AL,F,2011,18654
AL,F,2012,18433
AL,F,2013,18645
AL,F,2014,19316
AL,F,2015,19625
AL,F,2016,19332
AL,F,2017,19122
AL,F,2018,18646
AL,F,2019,18740
AL,M,1961,37445
AL,M,1962,36386
AL,M,1963,35031
AL,M,1964,35066
AL,M,1965,32476
AL,M,1966,30524
AL,M,1967,29335
AL,M,1968,28999
AL,M,1969,29500
AL,M,1970,30881
AL,M,1971,30173
AL,M,1972,27652
AL,M,1973,26613
AL,M,1974,26427
AL,M,1975,25506
AL,M,1976,25141
AL,M,1977,26820
AL,M,1978,25815
AL,M,1979,27004
AL,M,1980,27453
AL,M,1981,26351
AL,M,1982,26075
AL,M,1983,25586
AL,M,1984,25356
AL,M,1985,25567
AL,M,1986,25289
AL,M,1987,25325
AL,M,1988,25822
AL,M,1989,27027
AL,M,1990,27112
AL,M,1991,26383
AL,M,1992,26354
AL,M,1993,25902
AL,M,1994,25162
AL,M,1995,24683
AL,M,1996,25053
AL,M,1997,24574
AL,M,1998,25220
AL,M,1999,24940
AL,M,2000,25297
AL,M,2001,24124
AL,M,2002,23176
AL,M,2003,23633
AL,M,2004,23525
AL,M,2005,23715
AL,M,2006,25248
AL,M,2007,25060
AL,M,2008,25080
AL,M,2009,24126
AL,M,2010,23333
AL,M,2011,22896
AL,M,2012,22170
AL,M,2013,22344
AL,M,2014,23072
AL,M,2015,23126
AL,M,2016,23039
AL,M,2017,22785
AL,M,2018,22530
AL,M,2019,22511
AR,F,1961,17486
AR,F,1962,17625
AR,F,1963,17491
AR,F,1964,17406
AR,F,1965,14932
AR,F,1966,13949
AR,F,1967,13448
AR,F,1968,12999
AR,F,1969,13517
AR,F,1970,13623
